sentiment_numeric,word_count,num_stop_words,num_chars,num_punctuation_chars,category_gaming,category_movies,category_music,category_technology,hour,weekday,month,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy
0,5,0,20,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,1,19,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,4,35,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,13,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,3,50,3,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.0,0.08333333333333333,0.0,0.25
0,2,0,16,0,0.0,0.0,1.0,0.0,16,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,2,14,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,13,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,8,4,33,1,0.0,0.0,1.0,0.0,15,6,7,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
1,14,1,71,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.2
1,11,0,56,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,2,34,4,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
0,7,0,30,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0,27,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,0,43,1,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0,13,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,1,42,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
1,6,4,26,1,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
-1,9,2,47,1,0.0,0.0,1.0,0.0,15,6,7,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.0,0.07692307692307693
0,6,0,22,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
0,2,0,9,1,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,4,41,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,6,2,30,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0,38,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2
0,3,0,24,1,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,18,1,86,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,36,1,177,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,0,14,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0,7,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,0,27,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0,13,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,0,28,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0,39,0,0.0,0.0,1.0,0.0,15,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
